,field,files,total_size
0,field0202,3.0,1.1987686157226562
1,field0245,128.0,401.4015130996704
2,field0246,128.0,377.2735538482666
3,field0247,128.0,361.4425621032715
4,field0248,128.0,319.86236476898193
5,field0249,128.0,226.593017578125
6,field0250,128.0,263.97705078125
7,field0251,128.0,326.0612487792969
8,field0252,128.0,295.5436706542969
9,field0253,128.0,333.59527492523193
10,field0254,128.0,348.09112453460693
11,field0255,128.0,416.851037979126
12,field0256,128.0,510.7879629135132
13,field0257,128.0,2929.2106590270996
14,field0258,128.0,2876.186369895935
15,field0259,128.0,5897.712706565857
16,field0260,128.0,14879.035949707031
17,field0261,128.0,7979.393005371094
18,field0262,128.0,4457.378386497498
19,field0263,122.0,609.3978843688965
20,field0264,128.0,566.864010810852
21,field0265,128.0,401.49688053131104
22,field0266,128.0,348.3772258758545
23,field0267,128.0,302.886962890625
24,field0268,127.0,260.0669860839844
25,field0269,128.0,247.09701538085938
26,field0270,117.0,181.00738525390625
27,field0271,128.0,260.2577209472656
28,field0272,124.0,214.67208862304688
29,field0273,127.0,315.3800964355469
30,field0274,128.0,314.9986267089844
31,field0275,128.0,411.1289930343628
32,field0276,128.0,551.3191175460815
33,field0277,128.0,691.8907098770142
34,field0278,126.0,878.4866304397583
35,field0279,127.0,11495.494841575623
36,field0280,128.0,30734.06219482422
37,field0281,128.0,21642.589569091797
38,field0282,102.0,23033.428192138672
39,field0283,124.0,38717.26989746094
40,field0284,128.0,15628.814697265625
41,field0285,128.0,3257.656096458435
42,field0286,128.0,898.6473073959351
43,field0287,128.0,684.3566856384277
44,field0288,128.0,526.42822265625
45,field0289,128.0,473.6900329589844
46,field0290,128.0,424.28969860076904
47,field0291,128.0,376.12914657592773
48,field0292,186.0,404.4227542877197
49,field0293,182.0,458.0306978225708
50,field0294,128.0,539.8750305175781
51,field0295,187.0,568.2659139633179
52,field0296,176.0,543.8318243026733
53,field0297,183.0,521.6703414916992
54,field0298,128.0,455.8563232421875
55,field0299,129.0,457.92293548583984
56,field0300,143.0,470.2167510986328
57,field0301,128.0,463.4857168197632
58,field0302,128.0,486.2785339355469
59,field0303,128.0,421.0472068786621
60,field0304,128.0,532.5317363739014
61,field0305,128.0,663.280481338501
62,field0306,128.0,897.5982656478882
63,field0307,128.0,1370.2392568588257
64,field0308,126.0,4830.265045166016
65,field0309,128.0,7617.950439453125
66,field0310,128.0,7993.6981201171875
67,field0311,128.0,5580.80673122406
68,field0312,128.0,1039.6003723144531
69,field0313,128.0,709.1522188186646
70,field0314,128.0,689.1250524520874
71,field0315,128.0,524.9977111816406
72,field0316,128.0,415.13441944122314
73,field0317,128.0,380.99288272857666
74,field0318,128.0,319.2901611328125
75,field0319,128.0,323.9631652832031
76,field0320,128.0,305.2711486816406
77,field0321,128.0,332.6416015625
78,field0322,128.0,364.5896816253662
79,field0323,128.0,407.9818706512451
80,field0324,128.0,462.4366760253906
81,field0325,128.0,563.9076232910156
82,field0326,128.0,601.1009130477905
83,field0327,128.0,760.1737880706787
84,field0328,128.0,1036.07177734375
85,field0329,128.0,1233.2916250228882
86,field0330,128.0,16516.113280296326
87,field0331,128.0,47408.103942871094
88,field0332,128.0,24334.335327148438
89,field0333,128.0,37566.6618347168
90,field0334,128.0,40590.28625488281
91,field0335,128.0,12304.306030273438
92,field0336,128.0,3800.2014150619507
93,field0337,128.0,1313.5909996032715
94,field0338,128.0,1008.7966918945312
95,field0339,128.0,786.1137351989746
96,field0340,175.0,643.2533187866211
97,field0341,181.0,528.1715393066406
98,field0342,189.0,511.45553493499756
99,field0343,128.0,484.9433898925781
100,field0344,128.0,525.5699157714844
101,field0345,131.0,676.6176071166992
102,field0346,129.0,647.5105133056641
103,field0347,128.0,559.3299856185913
104,field0348,128.0,579.071044921875
105,field0349,128.0,636.6729640960693
106,field0350,143.0,590.9833908081055
107,field0351,128.0,547.9812622070312
108,field0352,128.0,603.5804719924927
109,field0353,128.0,631.3323879241943
110,field0354,128.0,663.4712171554565
111,field0355,128.0,747.680661201477
112,field0356,128.0,740.2419996261597
113,field0357,128.0,1021.1944532394409
114,field0358,128.0,1776.2184133529663
115,field0359,128.0,3125.1907348632812
116,field0360,128.0,7850.64697265625
117,field0361,128.0,1871.6812133789062
118,field0362,128.0,1204.013822555542
119,field0363,128.0,940.2275047302246
120,field0364,128.0,669.193265914917
121,field0365,128.0,510.7879590988159
122,field0366,128.0,456.14242362976074
123,field0367,128.0,769.805908203125
124,field0368,128.0,382.32802867889404
125,field0369,128.0,356.19735622406006
126,field0370,128.0,351.0475130081177
127,field0371,128.0,371.4561414718628
128,field0372,128.0,400.6385688781738
129,field0373,128.0,442.50488090515137
130,field0374,164.0,582.4089050292969
131,field0375,163.0,637.7220153808594
132,field0376,128.0,665.0924615859985
133,field0377,144.0,710.8688316345215
134,field0378,128.0,827.9800357818604
135,field0379,128.0,1163.38729763031
136,field0380,128.0,1480.2932710647583
137,field0381,128.0,5580.902099609375
138,field0382,128.0,16345.977783203125
139,field0383,128.0,17779.35028076172
140,field0384,128.0,45820.23620605469
141,field0385,128.0,33717.15545654297
142,field0386,128.0,7653.236389160156
143,field0387,128.0,3899.4789123535156
144,field0388,128.0,1732.3493957519531
145,field0389,128.0,1157.4745168685913
146,field0390,190.0,911.9033727645874
147,field0391,190.0,777.2445611953735
148,field0392,175.0,649.7116022109985
149,field0393,189.0,592.803955078125
150,field0394,190.0,567.3408508300781
151,field0395,128.0,639.1525201797485
152,field0396,191.0,613.5940551757812
153,field0397,133.0,782.4458999633789
154,field0398,132.0,661.5171384811401
155,field0399,190.0,723.9227132797241
156,field0400,190.0,806.7274074554443
157,field0401,188.0,792.2630243301392
158,field0402,128.0,682.3539628982544
159,field0403,167.0,651.4825773239136
160,field0404,128.0,624.9427709579468
161,field0405,128.0,786.4952020645142
162,field0406,128.0,1103.5919170379639
163,field0407,128.0,984.2872610092163
164,field0408,128.0,1089.0960664749146
165,field0409,128.0,2140.2359008789062
166,field0410,128.0,3656.3873291015625
167,field0411,128.0,12107.84912109375
168,field0412,128.0,7512.569427490234
169,field0413,128.0,1471.7102031707764
170,field0414,128.0,1097.7745037078857
171,field0415,128.0,707.3402376174927
172,field0416,128.0,1063.7283267974854
173,field0417,128.0,505.06591796875
174,field0418,128.0,422.6684522628784
175,field0419,128.0,363.5406446456909
176,field0420,128.0,378.03649139404297
177,field0421,128.0,383.5678005218506
178,field0422,128.0,410.7475252151489
179,field0423,128.0,422.7638187408447
180,field0424,148.0,489.61925506591797
181,field0425,177.0,576.3053894042969
182,field0426,176.0,697.8511772155762
183,field0427,171.0,1368.5226430892944
184,field0428,128.0,769.1383285522461
185,field0429,128.0,695.323938369751
186,field0430,128.0,873.8517732620239
187,field0431,128.0,1262.1879577636719
188,field0432,128.0,1780.7960510253906
189,field0433,128.0,5540.46630859375
190,field0434,128.0,13834.571838378906
191,field0435,128.0,18094.10476589203
192,field0436,128.0,37341.11785888672
193,field0437,128.0,25093.07861328125
194,field0438,128.0,10746.002197265625
195,field0439,128.0,4460.334777832031
196,field0440,190.0,1791.5725622177124
197,field0441,190.0,1256.7520122528076
198,field0442,190.0,1053.7147493362427
199,field0443,178.0,883.9607229232788
200,field0444,190.0,699.7108430862427
201,field0445,190.0,656.0325622558594
202,field0446,190.0,617.218017578125
